0,0 0 0 0 0 0 0 0 0
1,1 1 1 1 1 1 1 1 1
2,0 0 0 0 1 1 1 1 1
3,0 1 1 1 1 1 1 1 0
4,0 0 0 0 0 0 0 0 1
5,0 0 0 0 1 1 1 1 0
6,0 0 0 0 0 0 1 1 0
7,0 0 0 0 1 0 0 0 0
8,0 0 0 0 0 1 0 0 0
9,1 0 0 0 1 1 1 1 1
10,0 1 1 1 1 1 1 1 1
11,1 1 1 1 1 1 1 1 0
12,1 0 0 0 1 1 1 1 0
13,1 0 0 0 0 0 1 1 0
14,0 0 0 0 0 0 1 1 1
15,0 0 0 0 1 0 0 0 1
16,0 0 0 0 0 1 0 0 1
17,0 0 0 0 1 0 1 1 0
18,0 0 0 0 0 1 1 1 0
19,0 0 0 0 1 1 0 0 0
