0,EGF
1,HBEGF
2,IGF
3,NRG1
4,PTEN
5,EGFR/ERBB2
6,EFGR
7,IGFR1A/B
8,ERBB2/3
9,GRB2/SOS
10,IRS1
11,Ras*
12,MEKK1
13,Raf
14,PIK3CA*
15,MKK4/7
16,MEK1
17,PIP3
18,JNK1
19,ERK1/2
20,PDPK1
21,AKT
22,TSC1/2
23,GSK3
24,RHEB
25,mTOR
26,RP6SKB1
27,BAD
28,FOS-JUN
29,SP1
30,SRF-ELK1
31,SRF-ELK4
32,BCL2
33,BCK2L1
34,CCND1
